emp_no,first_name,last_name,title
10001,Georgi,Facello,Senior_Engineer
10004,Chirstian,Koblick,Senior_Engineer
10005,Kyoichi,Maliniak,Senior_Staff
10006,Anneke,Preusig,Senior_Engineer
10009,Sumant,Peac,Senior_Engineer
10018,Kazuhide,Peha,Senior_Engineer
10019,Lillian,Haddadi,Staff_
10020,Mayuko,Warwick,Engineer_
10022,Shahaf,Famili,Engineer_
10023,Bojan,Montemayor,Engineer_
10026,Yongqiao,Berztiss,Senior_Engineer
10035,Alain,Chappelet,Senior_Engineer
10047,Zvonko,Nyanchama,Senior_Engineer
10051,Hidefumi,Caine,Senior_Engineer
10053,Sanjiv,Zschoche,Senior_Staff
10057,Ebbe,Callaway,Senior_Engineer
10058,Berhard,McFarlin,Senior_Staff
10059,Alejandro,McAlpine,Senior_Staff
10063,Gino,Leonhardt,Senior_Engineer
10066,Kwee,Schusler,Senior_Engineer
10067,Claudi,Stavenow,Senior_Engineer
10070,Reuven,Garigliano,Technique_Leader
10072,Hironoby,Sidou,Senior_Engineer
10074,Mokhtar,Bernatsky,Technique_Leader
10076,Erez,Ritzmann,Senior_Engineer
10088,Jungsoon,Syrzycki,Senior_Staff
10091,Amabile,Gomatam,Senior_Engineer
10096,Jayson,Mandell,Engineer_
10097,Remzi,Waschkowski,Senior_Staff
10100,Hironobu,Haraldson,Senior_Staff
10103,Akemi,Birch,Engineer_
10106,Eben,Aingworth,Senior_Engineer
10126,Kayoko,Valtorta,Senior_Staff
10127,Subir,Baja,Senior_Engineer
10129,Armond,Peir,Technique_Leader
10130,Nishit,Casperson,Senior_Engineer
10134,Diederik,Siprelle,Senior_Engineer
10138,Perry,Shimshoni,Senior_Engineer
10150,Zhenbing,Perng,Senior_Engineer
10153,Heekeun,Majewski,Assistant_Engineer
10157,Nigel,Aloisi,Senior_Engineer
10159,Serif,Buescher,Senior_Engineer
10160,Debatosh,Khasidashvili,Senior_Staff
10163,Karsten,Szmurlo,Senior_Staff
10166,Samphel,Siegrist,Engineer_
10183,Mechthild,Bonifati,Staff_
10194,Josyula,Hofmeyr,Senior_Staff
10196,Marc,Hellwagner,Staff_
10198,Pranav,Furedi,Senior_Engineer
10203,Steen,Escriba,Senior_Staff
10205,Mabhin,Leijenhorst,Senior_Engineer
10207,Girolamo,Anandan,Senior_Engineer
10215,Xiaobin,Duclos,Senior_Staff
10219,Genta,Kolvik,Senior_Staff
10224,Leon,Trogemann,Senior_Engineer
